,videoId,tags,viewCount,likeCount,favoriteCount,commentCount
27,GVF0uDIygMQ,"['#dobkey', 'donkey', '#facttack.', '#attack', '#mrindianhacker', '#usa donkey', '#serbia to austria', '#england donkey', '#go to Europe', '#best donkey', '#europe donkey']",432,13,0,4
28,1pDi0dzT3wc,"['usa donkey', 'usa donkey 2022', 'usa donkey new video', 'usa donkey border crossing', 'usa border crossing punjabi', 'donkey usa', 'America donkey', 'donkey America', 'Mexico to usa border crossing', 'Mexico border crossing to usa', 'today Mexico border crossing entr usa', 'Mexico to usa border crossing punjabi', 'Mexico to usa border crossing 2022', 'Panama jungle donkey', 'Panama jungle', 'shorts', 'yt shorts', 'usa donkey status', 'Serbia donkey', 'Italy donkey', 'India to usa donkey', 'India to usa donkey route']",22135,485,0,2
29,xuD6vEmlOis,"['india to usa donkey', 'usa donkey', 'usa donkey 2023', 'usa donkey new video', 'usa donkey border crossing', 'donkey usa', 'america donkey', 'donkey america', 'yt shorts', 'shorts', 'usa border crossing punjabi', 'Mexico border crossing to usa', 'Mexico to usa border crossing', 'Mexico to usa border crossing punjabi', 'Mexico border crossing entr usa', 'panama jungle donkey', 'panama jungle', 'serbia to Austria donkey', 'france to england donkey', 'italy donkey', 'india to canada', 'canada to india']",12541,406,0,0
30,6nJjy-tcckQ,,122842,5262,0,320
31,vMpQuHznKbI,"['usa donkey', 'usa donkey 2022', 'donkey usa', 'usa donkey new video', 'usa donkey border crossing', 'india to usa donkey', 'America donkey', 'donkey America', 'America donkey new video', 'Mexico to usa border crossing', 'Mexico border crossing to usa 2022', 'Mexico to usa border crossing punjabi', 'usa border crossing', 'Mexico border crossing', 'shorts', 'shorts video', 'short video', 'yt shorts', 'Serbia donkey', 'England donkey', 'Canada donkey']",3106,115,0,1
32,pM6H_zko9R4,,104902,4630,0,10
33,45jmXri0fUc,"['donkey route to usa from india', 'usa donkey route', 'America donkey', 'donkey America', 'donkey usa', 'usa donkey 2022', 'usa donkey new video', 'usa donkey border crossing', 'Mexico to usa border crossing', 'Mexico to usa border crossing 2022', 'usa border crossing punjabi', 'Mexico to usa border crossing punjabi', 'Mexico border crossing to usa', 'shorts', 'yt shorts', 'short video', 'shorts feed', 'usa donkey', 'Serbia donkey', 'England donkey', 'Italy to America donkey', 'India to usa donkey']",2639,47,0,0
34,fnbB-ehHbVg,"['amrika donkey', 'mexico donkey', 'usa visa', 'usa donkey', 'usa donkey punjabi', 'usa donkey 2022', 'usa donkey map', 'india to usa donkey route', 'usa donkey in hindi', 'mexico to usa donkey map', 'donkey flight', 'usa punjabi donkey', 'serbia to italy donkey', 'american donkey punjabi', 'donkey america punjabi', 'us donkey flight', 'us ki donkey', 'brazil ki donkey', 'usa jana', 'donkey new video', 'america donkey', 'donkey america', 'usa ki donkey', 'how to enter in usa from mexico', 'mexico to amrika donkey']",2818,170,0,0
35,8on2Be9xQ_w,,824078,23800,0,381
36,4WPKTg8Lo6I,"['amrika donkey', 'mexico donkey', 'usa visa', 'usa donkey', 'usa donkey punjabi', 'usa donkey 2022', 'usa donkey map', 'india to usa donkey route', 'usa donkey in hindi', 'mexico to usa donkey map', 'donkey flight', 'usa punjabi donkey', 'serbia to italy donkey', 'american donkey punjabi', 'donkey america punjabi', 'us donkey flight', 'us ki donkey', 'brazil ki donkey', 'usa jana', 'donkey new video', 'america donkey', 'donkey america', 'usa ki donkey', 'how to enter in usa from mexico', 'mexico to amrika donkey']",13516,681,0,0
37,kCbW0Pqh7kc,,44764,3663,0,13
38,pKRsvAmfhCA,"['#panamajungle', '#maxico', '#USAdonkey', '#humantraffking', '#panamacanal', '#USAborder', 'panama to America donkey', 'panama canal ship crossing', 'panama donkey', 'USA', 'USA donkey', 'USA donkey 2022', 'USA donkey latest video', 'USA donkey new update', 'usa donkey today', 'Maxico border crossing USA', 'Maxico border crossing']",101796,1794,0,109
39,MoVsKba_dcU,,3531,,0,1
40,j2bxTBWz0V8,"['usa donkey 2022', 'america donkey', 'american donkey punjabi', 'amritpal singh waris punjab de', 'brazil ki donkey', 'donkey america', 'donkey america punjabi', 'donkey flight', 'donkey new video', 'india to usa donkey route', 'mexico donkey', 'mexico to usa donkey map', 'us donkey flight', 'usa donkey', 'usa donkey in hindi', 'usa donkey map', 'usa donkey punjabi', 'usa ki donkey', 'usa punjabi donkey', 'india to america donkey map', 'mexico to america donkey', 'latest video mexico to america donkey']",109882,3014,0,
41,1I3AjV8hydM,"['usa donkey', 'usa ki donkey', 'usa donkey 2022', 'usa donkey punjabi', 'america donkey', 'usa punjabi donkey', 'india to usa donkey route', 'usa donkey border crossing', 'donkey usa', 'usa donkey map', 'usa donkey enjoy', 'usa donkey in hindi', 'india to usa donkey', 'usa ki donkey 2022', 'mexico to usa donkey map', 'amrika donkey', 'mexico donkey', 'donkey flight', 'usa donkey rahi', 'usa donkey camp', 'usa donkey 2021', 'donkey america', 'usa donkey agent', 'usa donkey video', 'donkey new video']",6783,219,0,0
42,zV2eJFA7VOk,,372169,14388,0,57
43,GR_YB9tQtNs,"['India to usa donkey', 'usa donkey', 'usa donkey border crossing', 'usa donkey 2022', 'usa donkey new video', 'America donkey', 'donkey America', 'Panama jungle donkey', 'Panama jungle', 'usa donkey full details', 'Mexico to usa border crossing', 'Mexico border crossing to usa', 'usa border crossing punjabi', 'Mexico to usa border crossing punjabi', 'today Mexico border crossing entr usa', 'serbia to Austria donkey', 'France to England donkey', 'shorts', 'yt shorts', 'donkey update 2.0', 'sidhu moose wala new song']",60346,2637,0,11
44,RgaiDQ0aiRU,"['travel', 'traveling', 'vacation', 'visiting', 'travelvlog', 'trip', 'holiday', 'tourism', 'tourist', 'vlog', 'mytravels', 'digitalnomad', 'backpacker', 'backpacking', 'globetrotter', 'Best resort 2021', 'travel in covid', 'corona travel', 'quarantine travel', 'inspiration', 'learning', 'home', 'travel in one minute', 'traveldeck', 'things to do', 'places to visit', 'luxury', 'pools', 'top travel destinations 2021']",789,18,0,0
45,cyYyT4scN6Y,,148358,5413,0,178
46,4PIkMIcc9qI,,727,32,0,1
47,4nVhsYEQSMA,"['immigration', 'border patrol', 'mexico donkey america', 'mexico donkey punjabi', 'mexico donkey america 2022', 'mexico donkey real video', 'hindi travel vlog', 'mexico donkey from india to america', 'mexico to usa donkey', 'mexico to usa donkey 2022', 'how to go to america from india', 'अमेरिका कैसे जाएं', 'ਅਮਰੀਕਾ ਡੌਂਕੀ', 'ਮੈਕਸੀਕੋ ਤੋਂ ਅਮਰੀਕਾ']",195963,4225,0,283
48,zAFiNAh6emM,,10338,356,0,41
49,TUuYjDiqVgA,"['usa donkey', 'usa donkey 2022', 'usa donkey new video', 'usa donkey border crossing', 'Donkey usa', 'America donkey', 'Donkey America', 'America Border', 'Mexico to usa border crossing', 'Mexico Border crossing to usa', 'Mexico Border crossing entr usa', 'Serbia donkey', 'Serbia to Austria donkey', 'Australia Donkey', 'England donkey', 'Italy donkey', 'shorts', 'short video', 'yt shorts']",94647,4240,0,13
50,4fODIBVwUdw,"['American donkey', 'American donkey by punjab', 'punjabi ne khole America donkey de raan', 'raaj', 'viral video', 'fateh talk']",775365,14641,0,711
51,rlMPueqwTFk,"['america ki donkey kaise lagti hai', 'america ki donkey 2022', 'america ki donkey rasta', 'america ki donkey ki video', 'america ki donkey ka rasta', 'america ki donkey ke bare mein', 'pakistan se america ki donkey', 'pak to america donkey', 'us border crossing', 'us border security', 'us border immigration airport', 'us border airport', 'us border agents airport', 'us border and mexico', 'us border asylum seekers', 'us border asylum', 'us border agents on horses', 'ukraine refugees at us border']",300,13,0,2
