,videoId,tags,viewCount,likeCount,favoriteCount,commentCount
36,z5IOgk7WB4g,"['amrika donkey', 'mexico donkey', 'usa visa', 'usa donkey', 'usa donkey punjabi', 'usa donkey 2022', 'usa donkey map', 'india to usa donkey route', 'usa donkey in hindi', 'mexico to usa donkey map', 'donkey flight', 'usa punjabi donkey', 'serbia to italy donkey', 'american donkey punjabi', 'donkey america punjabi', 'us donkey flight', 'us ki donkey', 'brazil ki donkey', 'usa jana', 'donkey new video', 'america donkey', 'donkey america', 'usa ki donkey', 'how to enter in usa from mexico', 'mexico to amrika donkey']",2226486,109916,0,1882
37,pux309R_Ljo,,43238,2177,0,101
38,sAXSqXDKn34,"['usa Donkey', 'usa Donkey new video', 'usa Donkey border crossing', 'America Donkey', 'Donkey America', 'shorts', 'shorts video']",60443,2012,0,1
39,_rbUfJY3hmc,,875536,38979,0,126
40,gOCL_eMkl0w,"['usa donkey visa', 'usa donkey 2019', 'donkey panama to usa', 'donkey fraud', 'india to usa donkey route', 'donkey flights to usa', 'donkey way of panama jungle', 'america donkey 2019', 'india to usa donkey']",84449,879,0,120
41,34AzvUjc2ws,"['panama jungle', 'indian in panama jungle', 'indian donki system', 'donki kya hota hain', 'mexico usa border crossing', 'indian in usa', 'mexico to usa border crossing', 'panama jungle death videos', 'panama jungle donki video', 'donkers videos of panama', 'dangerous forest of panama', 'mexico border crossing', 'indian in canada', 'indian donkers', 'dunki trailer sharukhan movie', 'mexico usa border', 'donki real videos', 'dead man in panama jungle', 'usa canada border', 'usa caneda border']",1082774,21094,0,540
42,uLcwDwA5_J4,,19140,580,0,
43,pvIA2UtNV0E,"['how to make documentation for usa donkey', 'how to cross Mexican border easly to enter usa', 'how to enter in usa from mexico', 'how to find donkey agents in india', 'USA donkers', 'Usa donkey', 'How to cross panama forest', 'usa donkey 2022', 'how to find best way to enter usa on donkey']",204630,4418,0,25
44,aFUZA9KK8BE,"['USA donkey', 'donkey', 'Panama jungle', 'Panama', 'ankush Malik vlogs', 'india', 'india to USA', 'first vlog', 'first day in Panama', 'first day in jungle', 'mafia Panama', 'mafia jungle', '2 number se USA', 'donkar', 'USA vlogs', 'donkey vlogs', 'Panama vlogs', 'jungleshorts']",48,9,0,0
45,nNGDQuKmsqE,"['#usa', '#usadonkey', '#usaborder', '#usamexicoborder', '#maxicoborder', '#usanews', '#ashuror']",139944,4845,0,317
46,4bzAzTBq61c,,329,22,0,3
47,9Y8pL8JjOns,,340134,6037,0,205
48,iqa3HzBT3UM,"['India To USA Donkey', 'india in to usa donkey', 'USA की दीवार कूदने के बाद क्या होता है', 'Amerika ki Diwar Kudne Ke Bad', 'Donkey To America', 'Donkey Video Full Ditels', 'Donkey America', 'USA Donkey', 'usa donky', '#usadonky', '#donkeyamerica', '#donkeyvideo', 'USA Donkey kaise jate hai', 'India To USA Donkey Full Details', 'usa donkey border crossing', 'america border crossing india', 'usa donkey border crossing 2022', 'usa donkey panama jungle entry', 'usa donkey mexico border', 'INDIA 🇮🇳 TO USA 🇺🇸 DONKEY']",713,29,0,4
49,VSPj51bioPc,,160964,8013,0,34
50,mVb597qO5ks,"['Panama Jungle to America Journey', 'Panama Jungle to America', 'America Kaise Jaye', 'Usa Border Crossing', 'Mexico Border Crossing', 'NRI PUNJABI', 'Student Lifestyle in Canada', 'Work Lifestyle in Usa', 'Usa Truck driver', 'Canada Billboard', 'Circle Punjabi', 'CirclePunjabichannel', 'Circle Punjabi New Videos', 'Circle Punjabi News', 'Usa Donkey', 'America Donkey Journey Real Story', 'Panama Jungle', 'Usa Donkers', 'Punjabi In usa', 'Sidhu Moosewala New Song Update', 'Usa Donkey Kaise Lagti hai']",3233,68,0,10
51,VFFwQVLLFVY,,45707,1045,0,91
52,r30-6tBvRSY,,62681,2925,0,13
53,I1MG-HFcB_o,"['Donkey america', 'Panama jungle', 'america donkey', 'brazil ki donkey', 'donkey america punjabi', 'donkey flight', 'india to usa donkey', 'india to usa donkey route', 'mexico to usa donkey map', 'panama jungle donkey', 'panama jungle mafia', 'panama to usa donkey', 'us donkey flight', 'usa donkey', 'usa donkey 2022', 'usa donkey border crossing', 'usa donkey in hindi', 'usa donkey map', 'usa donkey new video', 'usa donkey punjabi', 'usa ki donkey', 'usa ki donkey information hindi', 'usa punjabi donkey']",5998,144,0,4
54,fcpCTgeiBew,"['Punjab NEws', 'Punjab news live', 'Punjabi News Channel', 'Breaking News', 'news update today', 'India News', 'punjabi videos', 'punjab news lockdown', 'Pinda vale jatt', 'punjab news live today', 'News in punjabi', 'news live today', 'America Donkey', 'america donkey way', 'mexico to america donkey', 'mexico to america border crossing', 'america border crossing punjabi', 'india to america donkey map', 'america illegal entry punjabi', 'america survival live', 'punjabi in america', 'punjabi arrested in America']",2190593,54702,0,1556
55,Wyhmg-aXmrY,"['Aaja Mexico Challiye\nFilm', 'Mexico USA border', 'ILLEGAL Mexico border', 'Mexico donkey', 'USA donkey', 'India to usa donkey']",3089083,33888,0,982
56,8ldepFMtXo4,"['2 Numbari USA Wala', 'America camp', 'America donkey', 'Punjab to America Donkey', 'Usa donkey 2022', 'YouTube', 'america donkey', 'america donkey new video', 'donkey america', 'india to amarica donkey', 'mexico border crossing to usa enter', 'mexico to america donkey', 'nato vs russia', 'punjab news', 'russian air defense', 'us vs russia', 'usa donkey', 'youtube channel 2 numbari usa wala', 'USA DONKEY VIDEO', 'Panama jungel video', 'Manoj Dey blog', 'Ashu Ror', 'donkey video', 'us time', 'America', 'mexico border']",9821,347,0,70
57,pazbjX9BQAM,,339896,11328,0,54
58,4xB18NyvTmA,,6132,257,0,3
59,ltji9A7k8v4,,10259,560,0,2
60,TDjEhhWMt5Q,,270684,13827,0,34
61,pJTXv9IZMZk,"['2 Numbari USA Wala', 'America donkey', 'Manoj Dey', 'Panama Canp', 'Usa donkey 2022', 'YouTube', 'america donkey', 'america donkey new video', 'cute animals', 'donkey', 'donkey america', 'donkey usa', 'funny donkey videos', 'india to amarica donkey', 'italy to america donkey', 'life on the road', 'manoj dey vlogs', 'panama', 'panama city beach', 'rich vs broke', 'tik tok', 'truck driver', 'trucks', 'try not to laugh', 'usa donkey', 'usa donkey video', 'youtube channel 2 numbari usa wala', 'Panama jungel Donkey Video']",138922,2934,0,288
62,Wgjoj13TtY0,,178949,3498,0,30
63,R75AhrJvE1s,,72966,4134,0,19
64,KaW1f9frj08,,89787,6917,0,29
65,9-VuXqJ6LmM,"['#u.s.a #panama #jungle', '#doney #funny']",10116,214,0,37
66,_4ZgAVbPOlc,,155266,7812,0,22
67,MoVsKba_dcU,,7596,,0,2
68,yPli49k-JY0,"['#mexicobordercrossing', '#illegal usaentry', '#usamexicoborder', '#todaytexasborder2022', '#donkiamerica', '#maxicobordercrossing', '#usadonkey', '#donkitodayupdate']",3763,146,0,50
69,SKYC65jzj5U,,835826,36911,0,99
70,O8C15GVaIqg,"['india to usa donkey', 'donkey america', 'usa donkey', 'america donkey', 'usa donkey border crossing', 'donkey usa', 'mexico border crossing to usa punjabi', 'mexico border', 'usa donkey haryana', 'usa donkey status', 'usa donkey real video', 'Gaurav maan', 'gaurav maan haryana', 'usa border wall', 'panama jungle video', 'panama jungle real video', 'panama jungle full video', 'usa donkey haryana to usa', 'india to usa donkey route', 'usa ki donkey', 'haryana to usa donkey', 'us green card', 'life in usa for indians']",260488,6163,0,409
