,videoId,tags,viewCount,likeCount,favoriteCount,commentCount
0,B9rP1MdC_nw,,30499,1959,0,89
1,pKRsvAmfhCA,"['#panamajungle', '#maxico', '#USAdonkey', '#humantraffking', '#panamacanal', '#USAborder', 'panama to America donkey', 'panama canal ship crossing', 'panama donkey', 'USA', 'USA donkey', 'USA donkey 2022', 'USA donkey latest video', 'USA donkey new update', 'usa donkey today', 'Maxico border crossing USA', 'Maxico border crossing']",101811,1793,0,109
2,SOm3vmHs43A,,7565,378,0,29
3,Zg6CQaPEUuk,"['2 numbari usa wala', 'America camp', 'Usa donkey 2022', 'Usa donkey 2023', 'Vlog', 'animal crossing new horizons', 'camp', 'camp america', 'daily vlog', 'donkey america', 'family vlogs', 'india to amarica donkey', 'india to usa flight journey', 'india to usa travel vlog', 'india to usa vlog', 'living in panama', 'new york', 'new york city', 'panama canal', 'sourav joshi vlogs', 'stand up comedian', 'summer camp', 'travel vlog', 'united states', 'usa donkey', 'usa donkey video', 'vlogs', 'youtube channel 2 numbari usa wala', 'us']",14427,711,0,147
4,vElXF3bwrfI,,425393,7721,0,359
5,EMTPOGskvEU,,257,25,0,0
6,R75AhrJvE1s,,71568,4041,0,19
7,zV2eJFA7VOk,,373164,14415,0,57
8,nbU-Mo-l32E,"['2 Numbari USA Wala', 'America wala song', 'Punjab to America Donkey', 'Usa donkey 2022', 'YouTube', 'america donkey', 'attack on ukraine', 'donkey america', 'india to amarica donkey', 'mexico border crossing to usa enter', 'nato vs russia', 'new punjabi songs', 'punjab', 'punjab news', 'punjabi songs', 'us vs russia', 'usa donkey', 'usa donkey border crossing', 'usa donkey video', 'youtube channel 2 numbari usa wala', 'America camp', 'us donkey', 'Panama jungel', 'us time', 'Manoj Dey', 'USA DONKEY VIDEO']",221668,2078,0,157
9,kIYQX-5YstU,,1093115,49880,0,189
10,e_SFs5v-TXs,,1270335,49571,0,422
11,PswI9oN7NIA,"['usa donkey border crossing', 'usa donkey haryana', 'usa donkey video', 'usa donkey panama jungle entry', 'usa donkey status', 'usa donkey interview', 'usa donkey agent number', 'usa donkey america', 'usa donkey bond', 'usa donkey border crossing punjabi', 'usa donkey border crossing new update']",614,15,0,0
12,x-s0YoznGgU,"['#usadonkey', '#donkeyusa', '#panamajungle', '#usa', '#mexicodonkey', '#mexicojungle', '#usaborder', '#mexicoborder', '#ashuror']",127447,6296,0,627
13,9VD1UB3Jinw,,20400,1141,0,12
