,videoId,new_comment,author_name,author_id,replies
0,dSOMBC4156I,Dude!! There is a crow sitting on your head!!,Jatin Talreja,UCm47Vs2ZgviFfvq5DGAN32A,[]
1,dSOMBC4156I,Isse accha apne desh me chai ki tapri khol lo,Bhanu pratap singh,UCXgk9wnK0QrvqBHxVpcltTA,[]
2,dSOMBC4156I,Boring,Ankit Jaiswal,UCzhPVeeFA6hScMz_j9bcbUQ,[]
3,dSOMBC4156I,"this donkey trend has come to Haryana and UP also now, who ever are not clearing IELTS are doing this these days.",Harvey Epstein,UC0ppcELhMgbD2qCzWDy2E7A,[]
4,dSOMBC4156I,"These guys won't stop I guess.
They need to stop coming that way.",Vir,UCdc2_ilCOjDtwNk_ONtBnbQ,[]
5,dSOMBC4156I,Biden is curse for America,Mayank Gupta,UCsJIDelX8jYe20w3gJhKwZg,[]
6,dSOMBC4156I,"Good activity, maza aayega",Mayank Gupta,UCsJIDelX8jYe20w3gJhKwZg,[]
7,dSOMBC4156I,Dark Side,Gaurav R Misar,UCir4kankTQaaBpevCmXdztQ,[]
8,dSOMBC4156I,Chalo us illegally,Aniket Salvi,UCE5D3nVuOFhPoJaX_cWt2Vg,[]
9,dSOMBC4156I,"I see Hindus are everywhere and  they are all over the U.S states especially CA and more than ever before.
 now I know how and  where they come from.",WT,UCmV613eH5PNdtUvgBC8am7g,[]
10,dSOMBC4156I,Need to take down those agencies,Save Nature,UCOXNnThV6X8hXUGZtbZEmwA,[]
11,dSOMBC4156I,Why do they want to work in us?? Riskiest thing to do,Save Nature,UCOXNnThV6X8hXUGZtbZEmwA,[]
12,dSOMBC4156I,Why people cross the border knowing all these problems are in there way?,MDOZ,UC45bB8Ybc-2y-et7w768Fjg,[]
13,dSOMBC4156I,35 lakh.,LIFE HACKER,UCEY0qpl2TJVdlKCBa1KgI5A,[]
14,dSOMBC4156I,"These people have no backing of education, will do odd jobs but say with pride that they are in USA, but refuse to work hard in country of origin",Neil,UCB1K6rjP2ZF550FWAzfYRlw,[]
15,dSOMBC4156I,Menu Punjab kendeya,Kishan Patel,UCm1dKsHmjQAwp0_4gOoZXsA,[]
16,dSOMBC4156I,It's informative and emotional at the same time 😢,Md Ali,UCfwZPbVgaxnslWu789yO_fw,[]
17,dSOMBC4156I,My Big question is that even if people stay illegally. How do you even get a job ? They will ask for documents and verification which is not there with the illegally migrant. So how will he or she earn and eat.,Subject 9,UCbyeuEzY71XKUqrDD0gIyWA,[]
18,dSOMBC4156I,Awsome brother …very nice and very very important information specially for those who think Going to Usa  is as simple and easy and even knowing full risk of life ….God bless,Kk ptkz,UCGcxE46gq5XkITLJA5b_8LA,[]
19,dSOMBC4156I,पंजाबी कुता मोटे ga,shaggydog126,UCDTTi5RK6q3Tjea0WKTV5bw,[]
20,t-RxWqCOBns,कभी हरियाणा पंजाब chaaker लगाके जाओ इन donkey वालो के बंगले देखकर आपकी फट जायेगी,Ankit,UCQ04M2JKpjovb_L1UnFla7A,[]
21,t-RxWqCOBns,Kiu....,Dipak Lodh,UC6Nl1NeEf-byHtyi5UzuUSg,[]
22,t-RxWqCOBns,Abaha gatha Hama gatha bol raha ha,Ss Gaming,UCynLL-8cvRPxWkUplkIaMVQ,[]
23,t-RxWqCOBns,#Indus Battle Royale,Mohammed Hamza,UCMiaa1boF2LDCUE3hNvLKxw,[]
24,t-RxWqCOBns,Sikh donkey even there,Smita Kumar,UChxQ68iwn7C47iYFCuK8Nzw,[]
